date,location,total_rating,speed_small_rating,availability_small_rating,support_small_rating_tab,price_quality_small_rating,headline,summary
28.12.2018 в 20:35,г. Петропавловск,1,1,1,1,1,"
                    Мико                ","
                    Фильм даже не тянет, это не интернет, а туфта полная, за что каждый месяц плачу 5 000 вообще не ясно, не связи нет нормальной не интернета... полное разочарование                 "
26.12.2018 в 18:48,г. Караганда,1,1,1,1,1,"
","
                    Сотрудники Билайн, вы самые никчёмные, безответственные туловища.Какого черта каждый вечер режете скорость до такой, что блин телевизор отказывается показывать.Это что за фигня, скорость меньше заявленной в 25-50 раз ниже той за которую я плачу.Вы что скорость отключаете вместе с ютубом из-за ДВК? Я сейчас должен смотреть телевизор, но так как он категорически отказывается показывать с 21ч., до 24.00, как минимум, я пишу вам отзывы.
Блин, что бы ваши дети не знали вкуса конфет, а самым сладким и желанным овощем,/для них это фрукт/ была бы морковка. И это не шутка!
Отзыв, конечно же! Ниже плинтуса.                 "
23.12.2018 в 19:58,г. Тараз,1,1,1,1,1,"
                    сколько это будет ппродолжаться                ","
                    скорость интернета очень низкая, телевидение сильно тормозит. на жалобы операторы отвечают что приняли заявку и тишина. продолжается это уже с лета. думал наладится. все кончилось моё терпение                 "
14.12.2018 в 15:19,г. Усть-Каменогорск,2.8,4,3,3,1,"
","
                    Как уже ниже писали, после принудительной смены тарифа КАЖДЫЙ день утром и вечером пропадает интернет и как следствие отключается смарт телевидение. На перенастройку и переподключение уходит от 10 до 20 минут. Звонки в техслужбу не помогли, интернет пропадает все равно. Вопрос, почему на старом тарифе все прекрасно работало, а с новым не только не улучшили связь, как обещали, а НАМНОГО ухудшили? И почему Билайн бездарно ворует мое время на настройку того, что по договору должно работать? Столько лет у меня не было претензий к Билайну, но теперь задумалась над сменой провайдера.                 "
13.12.2018 в 09:15,г. Петропавловск,4,3,4,5,4,"
","
                    Интернет дома от Билайн (2dayTelecom) хороший интернет за свою стоимость, иногда бывают обрывы связи и роутер в комплекте не лучшего качес, но за то за бесплатно. дни когда не работает интернет они компенсируют                 "
10.12.2018 в 20:32,г. Шымкент,1.5,1,3,1,1,"
                    Сдает позиций Beeline                ","
                    Из моих заверенных 40 мегабит всего 2 мигабита в секунду.
   Звонишь в тех поддержку одна от мазка якобы в вашем городе ограничение по скорости устраняем.
— сколько ждать?
— ну около недели!
неделя уже прошла, а результата ноль
Beeline клиентов так потеряете.
Я с Beeline уже прядка 5 лет
сегодня 10.12.2018 года                 "
09.12.2018 в 17:48,г. Караганда,1,1,1,1,1,"
                    Ужасный интернет                ","
                    За два года использования данного интернет соединения, могу сказать одно. Первый пол года работал идеально и скорость была отличная. Затем начались перебои, то ветер повлиял то дождь то ещё какой-то бред. В службу не дозвониться. Сейчас и недели не было чтоб работал хорошо, скорость очень низкая даже страницы не открывает не говоря уже об играх и просмотре фильма. Офиса в нашем городе нет, поэтому пойти напрямую подать заявку не возможно. Не рекомендую, ужасное обслуживание, ужасная скорость. Оценку даже еденицу бы не поставила. Надеюсь что провайдер примет к сведению великое множество плохих отзывов и примет меры, но я однозначно меняю провайдера, надежды нет уже на хорошее интернет соединение                 "
08.12.2018 в 19:20,г. Караганда,5,5,5,5,5,"
","
                    Всем привет.Пользуюсь этим провайдером более 3 лет.Всегда стабильный интернет, доступно в деревнях и далеко расположенных районов от города.Всем советую.                 "
07.12.2018 в 18:02,г. Караганда,1.2,1,1,2,1,"
                    ОТВРАТИТЕЛЬНО                ","
                    Заявленная скорость 100, по сути в среднем (в хорошие деньки) выдает 50, но в основном это вечные звонки в тех.поддержку и слова бот «Внимание, наблюдается снижение скорости…разберемся В ТЕЧЕНИИ 16 ДНЕЙ», а вы там не обнаглели брать такие деньги с людей и вечно давать настолько плохие показатели? Вообще до НГ терплю, а потом переподключаюсь на другого провайдера.                 "
03.12.2018 в 12:55,г. Нур-Султан,3.2,4,4,2,3,"
                    Цены выше, качество хуже                ","
                    лет 5 назад подключили билайн интернет по тарифному плату 100 мб/с навсегда без изменения скорости и цены.
В ноябре начали приходить СМС о том, что с 1 декабря меня автоматически переводят на мой же тариф, только уже дороже.
Теперь каждый день приходится заново настраивать интернет через их программу, так как выбивает вайфай. Еще и ждать по полчаса пока они ответят.                 "
03.12.2018 в 11:23,г. Балхаш,3,3,3,3,3,"
                    Провайдер Beeline KZ                ","
                    Провайдер Beeline KZ, работает с перебоями, но в целом не плохой, многое не вытягивает, частые сбои                 "
02.12.2018 в 12:10,г. Караганда,1,1,1,1,1,"
                    Отстойный интернет !                 ","
                    Никому не рекомендую это мобильную связь! Отстойный интернет, еденицы жрут только так! Позор билайну! Я очень зла что связалась с данной мобильной связью! Что в Астане что в Павлодаре что в Кокшетау в центре города. Ловит ужасно!!!                 "
30.11.2018 в 17:18,г. Семей,2,2,2,2,2,"
","
                    Что заметил, любой провайдер (тем более если он новый в вашем районе) примерно год работает для меня приемлемо (иногда смотрю фильмы) и спекается. Нынешний «билаин» не исключение, подтверждая большинство здешних отзивов. Опять прийдется искать нового провайдера.
PS. Вот даже отказывается принять ЭТО сообщение.                 "
29.11.2018 в 17:20,г. Караганда,1,1,1,1,1,"
                    Караганда                ","
                    Не советую этого провайдера никому. Раньше было нормально. Скорость вообще никакая, из обещанных 100Мб по факту получаешь 10Мб, если погода нормальная. При звонке в тех службу каждый день говорят, что падение скорости исправят через 2 -3 дня. Но когда звонишь после 2-3 дней, почему-то срок исправления остается тем же. Даже 40 минутный сериал невозможно посмотреть в качестве 480р. В общем одно разочарование.                 "
28.11.2018 в 18:47,г. Костанай,3.8,3,5,4,3,"
                    Почти стабильный Интернет                ","
                    Если смотреть фильмы и копаться по сайтам — отличный Интернет. Если играть в Онлайн игры — всё зависит от погодных условиях, атмосферного давления, настроения провайдера, как встали звёзды, ещё надо потанцевать шаманский танец и кинуть соль через плечо… И то не факт.
Обслуживание хорошее. Доступность — «раз, два и готово». Цена замечательная, если смотреть на рекламу. В реальности, скорость, что написанно по документам, можно увидеть только тогда, когда на районе никто кроме тебя не пользуется Интернетом.
Сомнительная стабильность.                 "
22.11.2018 в 20:31,г. Павлодар,3.5,4,4,3,3,"
","
                    Пользуюсь два месяца, особых проблем не было, иногда в выходные дни скорость падает, но незначительно. Единственный сюрприз — сегодняшнее смс о завершении действия моего тарифного плана с 1 го декабря, с предложением перейти на более дорогой! Вот это возмущает!!!                 "
21.11.2018 в 17:30,г. Караганда,1.2,1,2,1,1,"
                    Не советую данного оператора                ","
                    Данный оператор не выполняет свою работу на 100%. В вечернее время с 18.00 до 23.00 падает скорость интернета с 98мбит до 10мбит. Стоит подумать о другом операторе так как эта проблема у меня уже 3 года с момента подписания контракта. Была написана не одна заявка и т. д., но со стороны компании не ведутся не каких действий.                 "
21.11.2018 в 16:12,г. Алматы,4.2,5,3,4,5,"
                    Казахстан Алматы Beeline                ","
                    Не самый плохой провайдер. Пользуемся лет пять уже.
Немного медленно, по причине долгого дозвона отвечает ТП, зато обычно быстро реагируют и устраняют. Вежливы и корректны.                 "
17.11.2018 в 19:37,г. Караганда,1,1,1,1,1,"
                    Пакет интернет телефон телевидение                ","
                    Подключили пакет интернет телефон и кабельное телевидение от билайн. Сколько не обращаемся так ничего и не работает. Уже 2 недели без телевизора. Операторы не могут ни как решить. Все время автоответчик, человек не отвечает. И почему мы должны оплачивать за то что не пользовались?!
Я думала билайн серьезная организация, а оказывается шарашка. .                 "
11.11.2018 в 20:24,г. Караганда,1.8,1,4,1,1,"
","
                    Самый худший интернет каким я пользовался. Даже писал в вручную, чтобы исправили проблему со связью, а реакции ноль. Вообщем будьте бдительны с этим оператором                 "
01.11.2018 в 18:51,г. Тараз,1,1,1,1,1,"
                    Интернет  не для геймеров                ","
                    Кто играет в онлайн игры не советую этот интернет, сам на тарифе выгодный микс, в следующим месяце думаю сменить вообше провайдера, играть не возможно                 "
29.10.2018 в 20:08,г. Темиртау,4,5,5,3,3,"
","
                    Всё в билайне всегда устраивало. Ну кроме некачественных роутеров и паутины открытых проводов по подъезду и на чердаке. А теперь ещё плюсом добавляется закрытие нормальных тарифов. Мне, знаете ли, абсолютно не нужны безлимиты с космическими скоростями, поскольку это у меня и на работе есть. Мне дома интернет нужен, чтоб в выходные посмотреть фильмы или послушать музыку. Но зачем мне за это переплачивать???
В общем всё хорошо. Но ничего хорошего. И не смениться же ни на кого другого. Все впаривают инет+тв+телефон… Да не сдалось мне это всё!                 "
29.10.2018 в 19:52,г. Караганда,2.2,1,3,2,3,"
                    Интернет от Билайна один из самых хулших в Казахстане                ","
                    Это бред. Сегодня я устал от Билайна, сколько дней уже мучаюсь, а толку? Что бы все было по новой? Если вы адекватный человек и дружите с головой, то Билайн худший выбор. Он скатился, руководство ужас, техник плохая, обслуживание недалеко ушло.                 "
29.10.2018 в 18:38,г. Алматы,1,1,1,1,1,"
                    Самый плохой интернет который у меня был...                ","
                    Здравствуйте многоуважаемые читатели! Если вы сейчас читаете мой отзыв, то спешу с Вами поделиться информацией насчет интернета от Билайн.

Уже 2 месяца, 2 МАТЬ ЕГО МЕСЯЦА мне не могут исправить проблему с разрывами интернета.
Очень отвратительная тех.поддержка, монтеры, которые обещают позвонить, но не перезванивают. Монтеры некомпетентны, не знают как исправлять проблему. В общем, полный кошмар. Не советую.

Раньше я жил в городе Жезказган, там тоже были такие проблемы, спустя чего я поменял провайдера. Я жалею о том, что подключил этот интернет, и Вам, не советую.                 "
27.10.2018 в 17:29,г. Караганда,1.2,1,1,1,2,"
","
                    Самый худший интернет которым я пользывался.
с утра вроде бы все нормально. Но после часов 12, начинает интернет тормазить, выключаться, а в 19 00 примерно, вообще ели ели работает… Ну пользуйтесь этим кошмаром.                 "
27.10.2018 в 15:53,г. Караганда,1.2,1,2,1,1,"
                    издевательство                ","
                    Скорости не 3 дня, 3535 не работает (с оператором не соединяют). Звоню на городской их номер там робот в ответ ведутся работы, День 1(сделают ближайшие 8 часов). День 2(сделают ближайшие 17часов). День 3(сделают в ближайшие 2! дня). Опять же с оператором связи нет.                 "
14.10.2018 в 08:53,г. Темиртау,3,1,5,3,3,"
                    Билайн KZ Темиртау 100 Mбит/c                ","
                    http://www.speedtest.net/result/7715789057 1 94/88 -Beeline KZ Karaganda
http://www.speedtest.net/result/7715786571 4 96/87 -Beeline KZ Astana
http://www.speedtest.net/result/7715793023 53 32/41 -Kazakhtelecom Astana

http://www.speedtest.net/result/7715803966 53 17/44 -Rostelecom Moscow
http://www.speedtest.net/result/7715801545 63 32/36 -Beeline Moscow
http://www.speedtest.net/result/7715798978 55 14/37 -DOM.RU Moscow

http://www.speedtest.net/result/7715773565 61 14/30 -Saint Petersburg
http://www.speedtest.net/result/7715806590 105 16/25 -Amsterdam
http://www.speedtest.net/result/7715779201 105 8/20 -Frankfurt

http://www.speedtest.net/result/7715796263 177 10/12 — New York City, NY                 "
13.10.2018 в 19:16,г. Петропавловск,1,1,1,1,1,"
                    Ужас                ","
                    Самый ужасный интернет в мире…такого дна я давно не видел…скорость ниже некуда. постоянно зависает.не ставьте никогда                 "
11.10.2018 в 06:48,г. Петропавловск,1.8,4,1,1,1,"
","
                    Был тариф Северный 2 за 1690, 12гб. Из смс от Билайн узнала, что можно подключить интернет за 2100 (даётся 12 Гб 4g и 12 гб просто трафика и указано что полностью бесплатный ютуб до 1.10.2018г). Я человек который любит посмотреть ютуб и слушать музыку в вк (очень быстро съедает трафик) и мне понравилось данное предложение и я решила подключить тариф за 2100. В итоге через неделю приходит смс что акция не только на ютуб, но и тариф 12 гб 4g. Получается билайн обманным путём заманили на тариф подороже который по гб теперь также как и Северный 2 за 1690. И теперь я не могу обратно перейти естественно на старый тариф так как его больше нет:) Я и мои коллеги теперь думаем подключиться к другому оператору после такой наглости, хотя почти все всю жизнь ходили с билайном, но после такого точно желание пропало.                 "
08.10.2018 в 19:54,г. Караганда,1,1,1,1,1,"
                    Ужас                ","
                    Не подключайте интернет от Билайн.100 раз подумайте прежде. 6 лет был интернет от АО казахтелеком и проблем не было.и тут решил я на свою голову связаться с Билайн о чем очень жалею. За месяц уже не помню сколько раз звонил в службу поддержки. Вечные разрывы.2 сутки нет интернета. Берегите нервы                 "
06.10.2018 в 22:09,г. Алматы,1,1,1,1,1,"
                    Слабый интернет                ","
                    Сама пользуюсь билайном уже давно, и дико устала от ежедневных проблемах интернета. Не помню такого дня, чтобы не было проблем с интернетом. Все надеюсь что решится проблема, но становится только хуже. Думаю пора менять оператора.                 "
06.10.2018 в 19:36,г. Риддер,4,4,4,4,4,"
                    Интернет дома от Билайн                ","
                    Провайдер Билайн обеспечивает качественным интернетом, недостатков практически нету. Иногда возможны сбои в скорости, но в основном все очень хорошо.                 "
05.10.2018 в 20:50,г. Уральск,1,1,1,1,1,"
                    Просто ужас                ","
                    Очень разочарован качеством связи и скоростью интернета особенно в вечернее время, его просто нет. А ещё разные мошеннические ухищрения по отъему денег с балланса. Просто ужас. Чтобы разобраться в каком-либо вопросе в офисе нужно отстоять приличную очередь и потерять кучу времени. Никому не советую данного оператора.                 "
27.09.2018 в 17:20,г. Алматы,1,1,1,1,1,"
                    Уровень ниже нуля                ","
                    Устоновили интернет уже следуйщий день вечером. Второй день после обеда уже нету интернета. Надо жать как минимум 7 дней, что устронить неполадок. Но это не гарантия, что кто-придет и решает проблему. По этому собираюсь отказаться от Билайна. Здоровье и время намного дороже чем никчему не нужный интернет от Билайна.                 "
21.09.2018 в 23:07,г. Нур-Султан,3.2,3,5,1,4,"
                    Немного о провайдере Beeline KZ                ","
                    С Интернетом порядок, оборудование компании стабильное
Монтажники без заминок осуществили подключение
В службу технической поддержки быстро дозвонилась
Нормальные впечатления                 "
19.09.2018 в 19:22,г. Нур-Султан,2.2,1,3,2,3,"
                    ужасный интернет                ","
                    скорость вашего интернета просто ужасна, невозможно не то что смотреть онлайн видео, простые страницы открываются по несколько минут                 "
01.09.2018 в 13:02,г. Караганда,2.8,2,3,3,3,"
","
                    Билайн, интернет дома, караганда
Нулевая скорость скачивания с внешки.
тариф 2017 Навсегда — 40/2500
зачем мне скорость на каз сайтах?
http://www.speedtest.net/result/7599218923.png
http://www.speedtest.net/result/7599221990.png
http://www.speedtest.net/result/7599225091.png
http://www.speedtest.net/result/7599227361.png
http://www.speedtest.net/result/7599230629.png                 "
24.08.2018 в 08:20,г. Костанай,4.8,5,4,5,5,"
                    Отличный интернет                ","
                    Интернет отличный, никогда не пропадает. Скорость скачивания файлов ~11,5 мб/с. Тариф соответствует заявленному, т. е. у меня 94 мегабит, тариф до 100. В играх иногда будто просто отключается на несколько секунд, т. е. в это время пинг 9999. Такое происходит где-то раз в неделю.

7 лет мучался с ADSL, год назад подключил этот, за это время только 1 раз интернет на 20 минут пропал.                 "
18.08.2018 в 21:45,г. Актобе,1,1,1,1,1,"
                    О билайн                 ","
                    Очень отвратительный интернет. При дозвоне ждёшь по полчаса пока сигнал дойдёт до абонента. Никому и никогда не посоветую билайн. Последний раз я пользуюсь их услугами. Всем советую не пользоваться их услугами. Очень отвратительно. До них не дозвониться. УЖАС!!!                 "
15.08.2018 в 09:42,г. Караганда,1.5,1,1,2,2,"
","
                    Интернет ужасный! не тратьте деньги зря и нервы! если только хотите выработать в себе такое качество как терпение то можете использовать их интернет                 "
31.07.2018 в 10:44,г. Алматы,1.8,3,2,1,1,"
                    интернет                ","
                    Уродский интернет. Просто жесть, все время пропадает. В день по 3-4 раза обрывается. Дозвониться до них невозможно. Чтоб эта компания сдохла. В нужный момент просто исчезает интернет, приходится перегружать и ждать и минут 15-20. Если хотите хороший интернет не ищите в билайне. Проще в 5 точке найти лучший инет                 "
26.07.2018 в 20:15,г. Семей,5,5,5,5,5,"
                    Лучший провайдер                ","
                    Вполне доступный провайдер, хороший конкурент на рынке провайдеров в моем городе, работает в течении лет 5 без перебоев и ошибок.                 "
20.07.2018 в 19:58,г. Абай,2,1,3,1,3,"
                    Оч плохо                ","
                    Последнюю (с 16 июля) неделю очень плохо работает интернет, нет нормальной возможности поиграть в онлайн шутеры или даже ММО игры, качество обслуживания не на высоте, решать проблему не хотят (или не умеют). Со сравнением с MegaLine, beeline полная ерунда.                 "
12.07.2018 в 07:22,г. Алматы,1,1,1,1,1,"
","
                    В гробу я видал ваш интернет и вашу связь. Альтернативы нету вам от неизбежности пользуюсь вашей связью .хотелось-бы матом но воспитание не позволяет опускаться до Вашего уровня и вашей связи.                  "
04.07.2018 в 03:35,г. Усть-Каменогорск,2,3,3,1,1,"
                    Фууу                ","
                    Вы меня разочеровали.
Ну вот что вашей компании не хватает? Большинство пользуется вашей связью, но нет нужно придумать новые способы вымогания денег.
Я в декрете. Дома установлен ваш вай фай. Номер мужа привязон к нему. То есть бесплатный. Я себе баланс не закидываю, так тг 200-150 с остатков на каспи кошельке перевожу. И этого вполне хватало.
Но нет. Вы ввели новую опцию-каждодневное списание. У меня не только весь остаток списывают так еще и в минус уходит. Ну и зачем мне эти бесплатные минутки, эти считанные кб?
Вынуждаете поменять оператора.                 "
25.06.2018 в 22:31,г. Экибастуз,1,1,1,1,1,"
                    Просто ужас                ","
                    Даже сейчас села писать отзыв и то не могу так как выкидывает:) просто кошмар, а не интернет с меня хватит 5 лет платила терпение закончилось последний месяц и ухожу к другому провайде. Люди даже не вздумайте подключатся провайдер просто ужас                 "
24.06.2018 в 11:06,г. Караганда,1,1,1,1,1,"
                    скорость                 ","
                    дебильская компания. звонью по номеру 3535 ждешь 15 минут либо 10минут., а когда отвечаеют, но конец на звонок тут же сбросывают менеджеры. подключил месяц назад интернет дома билайн, но скорость совсем слабыый. монтажникам не дозвониться менеджером тоже самое. оставляешь заявку на службу поддержку., но они звонят им в удобное время. не совету. людям подключить интернет дома билйаню второй день жду звонка технический поддержки.                 "
15.06.2018 в 13:44,г. Нур-Султан,1,1,1,1,1,"
                    Ужасно!                ","
                    Никогда, ни в коем случае, ни за что не пользуйтесь интернет дома Билайн, ужасное качество, не говоря уже о вылетах кадила 5-15 минут. У меня скачивается программа весом 60 гб уже 8 день, разве это мыслимо? Я плачу каждый месяц по 5 тысяч, чтобы получить вместо обещанной высокой скорости какие-то жалкие 120-150 кб/с? Ужасный персонал, ждёшь их по сто лет, они приходят, ничего не меняют и уходят, просто нет слов                 "
09.06.2018 в 20:15,г. Чимкент,1.5,1,1,3,1,"
                    Скорость не соответствует оплате в 100 мБ сек                ","
                    Скорость не соответствует оплате в 100 мБ сек Нехорошо. сколько раз обращался все временно. Раньше советовал, теперь не буду...                 "
08.06.2018 в 10:46,г. Актобе,1,1,1,1,1,"
                    Жалоба                ","
                    Очень плохо плохо не ловит живу в городе что толку платить нормально по человечески не посмотришь. вылетает интернет связь. 11 милл. чел. платят да еще тарифы подняли судить вас нужно.                 "
05.06.2018 в 19:01,г. Караганда,1,1,1,1,1,"
                    ужас                ","
                    Ужасный интернет на уровне 2000 годов, люди не тратьте деньги на это хуже связи нет гадость в городе не берет за городом вообще интернет нет, что в Астане что в караганде                 "
17.05.2018 в 14:00,г. Алматы,2.5,4,1,2,3,"
                    Регресс                ","
                    С переездом службы поддержки в Шымкент, качество услуги резко снизилось. Но по скорости на внешние ресурсы по-прежнему нареканий нет. «Интернет дома» очень хорош при торрент-загрузках с российских трекеров. Однако, нынешняя служба поддержки и система расчетов сводят на нет это преимущество по скорости. Колл-центр не отвечает по 15 мин и выдает неверную информацию, судя по тому, что второй оператор пр повторном звонке ее опровергает. Система расчетов с оплатой 1го числа месяца неудобна и мешает клиентам работать. Сегодня, 17 мая, хотел подключиться с обращением в колл-центр по просьбе перерасчета за 14 оставшихся дней в мае месяце. Однако, получил категорический отказ ввиду тех невозможности перерасчета из-за системы. Рекомендую недовольным, сомневающимся и новым клиентам хорошенько подумать перед подключением к этому провайдеру и поискать другие варианты.                 "
30.04.2018 в 20:42,г. Актобе,2.2,1,5,2,1,"
                    Негативный                ","
                    Плачу за 100 Мб, выше 38мб на протяжении 2 ух месяцев еще ни разу не было. А звонки с предложениями поступали постоянно, и после 9 часов вечера. В целом впечатление о провайдере очень негативно,один ""+"" быстро предоставили выход в ""мир"".                 "
30.04.2018 в 13:19,г. Актобе,1.2,1,1,1,2,"
                    Мобильный интернет                ","
                    Мобильный интернет стал никаким, виснет и пропадает вообще. 4G где хвалённый? Обращаешься в службу билайн ничего толком ответить не могут...                 "
27.04.2018 в 14:36,г. Алматы,1,1,1,1,1,"
                    Тупейшая наитупейшая связь с тупейшим интернетом                 ","
                    4G Не может загрузить элементарное видео. Все виснет. Плохо очень плохо. Слов нет, и когда вы с этим разберетесь? Цены не соответствуют качеству связи. Теле 2 на много лучше                 "
27.04.2018 в 13:33,г. Костанай,1,1,1,1,1,"
                    Ужасный интернет... вся правда....                ","
                    Интернет ужасный… выбивает постоянно его, влияет на погоду (не знаю почему), в данный момент ветер, выбивает через каждые 5 минут, устал уже от этого…пользуюсь последний месяц (3 месяца), и уже очень сильно разочаровался… хотя меня многие предупреждали, что он плохой интернет…, но решил попробовать на своей шкуре…                 "
25.04.2018 в 20:34,г. Экибастуз,3,5,4,1,2,"
","
                    Тариф супер микс. Скорость загрузок доволен. 100 мбит в сек. как и обещано в тарифе. Больше в Казахстане нет В юторренте маленькая скорость отдачи. До службы поддержки еле дозвонишься. Пинг в онлайн играх 75-140 мс.                 "
18.04.2018 в 19:58,г. Нур-Султан,2.8,1,4,3,3,"
                    Пора менять провайдера                ","
                    «Интернет Дома» от Билайна с каждым месяцев всё хуже и хуже. Если раньше всех хвалился, какой хороший интернет, то теперь разрывы связи по 2-3 раза в день (а не как раньше, 1 переконнект в определенное время суток).
А в последнее время новая тенденция — высоченный пинг и лаги с фризами в онлайн-играх. Я так понимаю, если в конце января 3 дня «без интернета» можно было назвать случайностью, то повтор такого сегодня и в предыдущие дни — уже тенденция и не в последний раз. Спасибо, Билайн, мне было хорошо почти 7 лет. Но эта лошадь сдохла, пора пересаживаться на другую :(.                 "
15.04.2018 в 08:52,г. Павлодар,1,1,1,1,1,"
                    Интернет ужасный!!                ","
                    Интернет ужасен. Обещают 80 мб/с, а на деле не больше 20-ти мб/с. Настолько убого интернета я не видел! Лучше сделать стабильную раздачу с телефона, чем сидеть с этого. Тех. Поддержка сбрасывает сразу, когда звонишь, мол ""все операторы заняты, перезвоните позже"", если вы до туда дозвонились, то считайте, что вы везучий человек. Скачивать фильмы - за весь день скачается, даже интернет у друга в колхозе в рф лучше, за который 100 рбл/мес. Пинг хоть стабильный в играх, у вас это вообще. Каждый день из-за вас теряю свои деньги вложенные в игры, вылетаю даже на крупных играх!                  "
14.04.2018 в 19:05,г. Семей,1,1,1,1,1,"
                    Ужасный провайдер                ","
                    Низкая скорость, Сотрудники неквалифиц толком не знают раб. Вечером даже на ютуб не заходит, что странно компания никаких шагов не делает к улучшению качества предоставления услуг                 "
12.04.2018 в 14:23,г. Караганда,1.5,3,1,1,1,"
","
                    Ужасный интернет! Очень часто неполадки на линии! Присылают не квалифицированных специалистов, которые не могут устранить причину отсутствия интернета! В результате ждешь сидишь мастера полдня и по 3-4 суток без интернета! До техслужбы не дозвонится! С оператором не соединяют! Я возмущена таким сервисом.
Мне это надоело! Буду отказываться от ваших услуг!                 "
10.04.2018 в 15:56,г. Балхаш,3.8,4,5,3,3,"
                    BEELINE                ","
                    В принципе скорость интернета совсем неплохая, но иногда бывают перебои и скорость с 70 мбит падает до 10.Редко бывает очень высокая скорость интернета.                 "
17.03.2018 в 20:39,г. Алматы,1,1,1,1,1,"
","
                    Постоянные перебои, высокий пинг, заявленная скорости нет  в итоге даже не грузит 720р в ВК. До этого были потери пакетов. я задолбался от этого провайдера лучше поменяю на IDnet.обнаружено задержка сети  звонил еще оператор принял заявку на диагностику кабеля на обрыв так вот прошло ровно 7 дней этих специалистов не то что нет они даже не позвонили                   "
